Name	Rol	ID	Rarity	status	texts	Position
Punga Punga	CH	1	1		Former thief turned Fulbo Galaxy star! After years of robbing other people’s money to fill his own pockets he decided to start stealing balls and filling the opposition’s goal. It has been quite a turnaround for this cult personality.	FOR
Comandante Feltford	GK	1	2		He's the richest Player in the game but he inherited his fortune from his daddy. A lot of rich kids waste their money on fast cars and expensive lifestyles but this guy only invests in surgeries that help him look like a better goalkeeper.	
Herr Friedmann	RF	1			Although he says he is the most impartial referee in the galaxy, he always helps the team on the right.	
Richard Orion	GK	2	1		A legend of the game that has played for almost every great team in Fulbo Galaxy. Many fans think he should have retired at the top of his game but some prefer to watch their heroes grow old and opinionated.	
Chunky Doll	CH	2	2		A small Player that makes a massive impact. He's armed, he's dangerous and he's willing to do anything apart from lose a game of Fulbo. You have been warned.	FOR
Joe Zen	RF	2			Two-time Interstellar Nobel Peace Prize winner Pipo wants all the teams to win. He is in a permanent alpha state thanks to the THC-infused matés he drinks during the match.	
Kim Yin	CH	3	2	blocked	Proud inventor of Fulbo Galaxy! When you grow up in the North it's natural to look down on everybody else. If he's not looking down on you and you're not looking up to him then you're about to enter a world of Kim Yin pain!	FOR
Vimbo ´Vred´ Slice	GK	3	3	blocked	The scariest goalie in the game. Taking a shot at his goal is a matter of life and death. If you miss, you may live to play again but if you score you’ll almost certainly die. You have been warned.	
Fulbo Friendly	RF	3			For a referee it is always problematic to have friendly relationships with a Player on the pitch. Well, Ibai is friends with 75% of the Players in the next match you play.	
Ceresitas	CH	4	2		The 1980s ‘IT’ girl is back. A real superstar blast from the past. She used to hang out in every girl’s backpack but nowadays she’s firmly rooted to the Fulbo Galaxy pitch. She’s a real sweet Player too!	MID
Copbot	GK	4	4		He’s robotic and easy to predict but still the most relentless keeper in the Fulbo Galaxy universe. He has been programmed with three prime directives. Serve the Fans, Protect the Goal, and Hold the Ball.	
Squidy	RF	4		blocked	Do not need.	
Poonga Loompa	CH	5	1		If you want a Player that sings along with the fans then look no further. If you want to score goals or defend well while singing songs then look no further. If you're looking to throw a team together without much thought then look elsewhere.	DEF
Xannah	GK	5	3		She’s a woman, a warrior and protector of the Fulbo Galaxy. When she’s around, the bad guys never score and the good guys always win. Unfortunately, it’s hard to tell who the good guys and the bad guys are in Fulbo Galaxy.	
NewPaul	RF	5		blocked	Do not need.	
Mischa Gurkovsky	CH	6	1		If your team has good equipment, a solid management structure and a clear idea of what it wants to achieve then you'll be sure to get the best out of this rising star. If your team lacks these things then you'll trigger her with memories of her old job.	DEF
Motorhome	GK	6	1	blocked	A motorcycle hero that loves to be in two places at once. In goal and in leathers! If he's not clearing balls, he's riding his chopper, and if he's not doing either of those then he's probably at home caring for his mother.	
The Big G	RF	6			Do not need.	
Fiscal Nissmar	CH	7	1	blocked	A Fulbo Galaxy wizard. Rich, powerful, and knows no fear. He’s unencumbered in life and able to play with amazing grace. Known for his catchphrase “Play for today because who knows what will happen tomorrow!”	FOR
Javo Autopercibido	GK	7	1		A leader in goal but far from being the captain of any team. An agressive keeper that refuses to play the way that conventional fans have come to enjoy.	
Flash Ramsay	RF	7		blocked	Do not need.	
Plasmatika	GK	8	2		This goalkeeper starts every game with innocent fun but things rarely stay that way for long. Learn to expect the unexpected and don't think for one moment that a defensive Player doesn't attack. This one does!	
Lizzie Queen	CH	8	4		She’s Fulbo Galaxy royalty. Literally! You do not choose to play Fulbo with the Queen, the Queen chooses to play Fulbo with you. Is one feeling like one needs a little help from Her Majesty? Is one feeling lucky?	DEF
Potato Kid	CH	9	1		Not only a Fulbo Player but a true addict of the game. He has dedicated his life to two things: the pursuit of Fulbo Galaxy excellence and the adoration of all forms of music made by those that call themselves ‘spuds’.	MID
Gordo Bazooka	GK	9	3		He's fat, he's angry, and he's got a bazooka. He also sees Fulbo as a chance to fight for the people's revolution. Do you really need to know anything else about this man before deciding to stay away?	
Acid Queen	CH	10	2		She's a private Player. A Player for Fulbo Galaxy. She'll play who you want her to play. Just a private Player. A Player for Fulbo Galaxy. Any old team sheet will do. Select her if you want to see that Fulbo shimmy!	DEF
Denimface	GK	10	3		The man that caused the Texas penalty shootout massacre. He saved every shot before using the balls to make a foul tasting soup. He force-fed his leathery broth to the opposing team who have never quite recovered.	
Central Mass	GK	11	1		A one-man Fulbo team! He may play with teammates but don't be fooled into thinking he needs any of them. This goalkeeping powerhouse is prepared to play alone and will happily challenge any team in the world.	
Harold Payne	CH	11	4		Positivity guru and lover of Fulbo Galaxy. Working hard and playing hard does not guarantee a win for any team. Harold may lose badly but he will hide that pain behind a seriously awkward grin.	MID
Arte Manujín	CH	12	1		An artist with the ball and a genuine visionary on the Fulbo Galaxy pitch. Her footwork is a thing of beauty and her passing game is a work of art. Any Fulbo Player can have their 15 minutes of fame but she will be remembered forever.	MID
Pato Vicca	GK	12	1		An uneducated fool that derives pleasure from standing guard over his goal. He has a strict "one ball in, one ball out" policy. He is visibly cruel to male Fulbo Players and allows the prettiest female Players to score goals on request.	
Tincho M. Diocre	CH	13	1	blocked	An incredibly adaptable Player. Capable of playing in all positions as long as they’re on the right wing. During games, he chooses not to witness fouls and never responds after a goal. After the game, he can see things in a different way. Very, very, different!	DEF
Cherk	GK	13	3	blocked	All this guy really wants is to be left alone on the Fulbo pitch. He's not a team Player and he doesn't much like the fans either. His dream game involves scoring a goal in silence and holding out for the final whistle.	
Orfelia Gonzalez	CH	14	1	blocked	A leader among women, and men, but mainly women. One of the youngest stars of the Fulbo Galaxy world who started playing nine months before she was born! She is surely destined for great things.	DEF
León Trovich	GK	14	3		One of the best shot stoppers in the game. He saves penalties, he saves shots on goal, and he saves people. He leads his team from the back and believes that all games of Fulbo are impossible to win, until they become inevitable to win.	
Juando Mingo	GK	15	2		A leader on the Fulbo pitch. He gives his team all the tools they need to play at their absolute best. In return, all he demands is complete allegiance to the team and to himself. FOREVER!	
Slasher Master	CH	15	4	blocked	The faceless assassin of Fulbo Galaxy. Hockey mask? Check! Sword? Check! Willingness to do anything it takes to win? Check! Has anyone seen the last team he played against? Seriously, has anyone seen them? They're still missing!	FOR
Ronald W. Thrumb	CH	16	3	blocked	Owner of the world's largest tanning salon. If you want a golden glow at a reasonable price then you know where to go after the game. NOTE: Birth certificates are required for entry at Thrumb Salons.	FOR
KryptoKid	GK	16	3	blocked	The longest serving Fulbo Galaxy Player never to have played a game. He is classed as a goalkeeper but as he has never played we have no idea if this is accurate. Could you pick him so we can update his profile please?	
Gorggy	CH	17	1		Perhaps the most positive Player in the game. He’s happy when he's losing but when he's winning he’s delirious. His positivity is so infectious his teammates will often be seen celebrating a loss.	MID
Power Pup	GK	17	4		The loveable Player with no words and so much to say. One look from him can tell you so much but we have absolutely no idea what any of those messages are because we're not fluent in facial expressions.	
Rick Deadboy	GK	18	1		You cannot beat a Player that doesn't understand defeat. You cannot harm a Player that doesn't feel pain. You cannot kill a Player that is already dead. Strikers may score a goal past him but can they afford to pay the price?	
Turbo Grrrl	CH	18	3		She's the busiest Player on the Fulbo pitch! When she has the ball, she also has a hangover, needs sleep, has an infinite amount of love for her cat and, oh yeah, she has a love of music too (but only the right kind of music).	DEF
Betsy Beige	CH	19	2		Captain of any team that is foolish enough to let her play. Loves nothing more than whipping a losing team into shape. Actually, she enjoys whipping winners too. Whatever the score is as the final whistle blows, her team will be getting whipped.	DEF
Franky	GK	19	2		He’s alive! A loving and delicate goalkeeper on the inside but a pale and expressionless hulk of a goalkeeper on the outside. He has been denied the chance to become his true self due to the harsh reality of first impressions.	
El Pesto	CH	20	2		A Player steeped in the traditions of the game. He views the opposition as the enemy and if his own teammates play badly he will often call them traitors to the cause. His dream is to play so well that the opposing team disappears.	FOR
Homeboy	GK	20	4		He’s the caped goal crusader! A great goalkeeper but not too good at being a man. Or, to put it another way, he’s a super keeper but not a super man. He doesn’t like it when we say it that way.	
Cobra	CH	21	2		A special Fulbo talent. She stands out for her distinctive headdress and her three gold neck rings. The longest neck in Fulbo Galaxy history and the most unnatural header of the ball that the game has ever seen.	FOR
Max Rainbow	GK	21	2		Warrior of warriors and guardian of the rainbow gates of goals. When the enemy begins to circle this epic defender springs into action and protects his team with all the color he can muster. Attack if you dare!	
Caniggia Ice	CH	22	2		A legend of Fulbo Galaxy (in his own mind). He doesn't play by the rules off the pitch and he won't stick to them when he's on it either. He works harder on his hair than on his Fulbo.	MID
Chester Wilde	GK	22	2		The big bear of Fulbo! If you want clean sheets from a defensive savior then you gotta get your paws on his guy. Attacking Players don't get time to think in his area. If they do, they're getting MAULED!	
Lover Master	CH	23	1		Player of Fulbo. Player of women. Balls and women are all the same to this guy. He knows what he wants and he goes after it. His book entitled, 'A Player's Guide' is now available online.	MID
Fengxian	GK	23	4		The three things this Player knows how to do are save, save and save! On average he concedes one goal for every three saves... All you need now is an attacking superstar that can score more goals than your keeper concedes.	
Kremme	CH	24	1		A true visionary in the game of Fulbo. He believes that the beauty of Fulbo lies in the style of play and that true winners do not play in search of goals. The scoring of goals is beneath him.	MID
Mergod	GK	24	3		One of the twelve best keepers to ever guard a goal. Take a fish out of water and it clearly grows stronger. His power and speed are off the scale and his tail flicks have been known to shake the earth!	
Cletus Pinkneck	CH	25	3		The number one choice for an attacking formation in Fulbo Galaxy! If this guy is on your team then you had better prepare for a no holds barred battle for Fulbo supremacy. 	FOR
Fabricio Fabri	CH	26	1	blocked	A dedicated follower of fun, fun, fun! He doesn’t get weighed down with the stresses of standard Fulbo Players. He once created thirteen goals for the opposing team and described his team as ‘the real winners’.	FOR
Kristina Firtzner	CH	27	2	blocked	Nobody knows for sure how she managed to become a Fulbo Player but most people were suspicious when she filed her Player registration. She is the former president of the Fulbo League and love her or hate her, she's here to stay.	DEF
Bobby Etchegoyen	CH	28	1	blocked	A responsive Player on the pitch but a verbally abusive Player off it. If the fans don't like what they see then they have two choices. Be quiet about it or get what is now known on the terraces as the 'BABY TREATMENT!!!'	FOR
Bolsonero	CH	29	1		A man of God and the most outspoken Player in the Fulbo world. He has so many important opinions he had to cut down half of the Amazon rainforest in order to write them all down. He doesn’t think that Fulbo should be ‘Full-OF-Women’.	FOR
Uncle Neddy	CH	30	2	blocked	Singer, songwriter and gun-toting activist! Is that a guitar case around his shoulders? Who knows! One moment he could be stealing your heart with a ballad about teamwork, the next he could be taking out the opposition in a sniper attack.	MID
Jimena Susanez	CH	31	1	blocked	An incredibly hardworking Player but not always focused on the right parts of her game. She can often be seen demonstrating great defensive play in the attacking half of the pitch or vice versa.	DEF
Oriana Yuyos	CH	32	1	blocked	A Fulbo Galaxy legend (in his own mind). He doesn't play by the rules off the pitch and he won't stick to them when he's on it either. He works harder on his hair than on his Fulbo.	MID
Sri Zen Ohm	CH	33	1	blocked	He loves it when his team scores! He loves it when the opposition scores too. He doesn’t care what goes down on the Fulbo Galaxy pitch. If someone scores then everyone's a winner!	DEF
La Chambona	CH	34	1		Fulbo Galaxy Stars. Guanacos. Chulengos. She loves them all! If something special happens on the Fulbo pitch, and if there’s a camera close enough to see it, then she has to be involved. Immediately!	FOR
Quanus, The Brute	CH	35	3		A Fulbo Player for all causes. He may not always be on the winning side but he sure looks cool when he’s losing. He will take on other Players and run at opposing teams. He once rallied his team to take a stand against the owners of Fulbo Galaxy!	MID
Kurtz Kritz	CH	36	3	blocked	Unadaptable, unfriendly and relatively unknown to his teammates. Do you really want this guy on your side? He may light up the Fulbo pitch but only in very weird - and criminal - circumstances.	
El Más Guillermo	CH	37	1	blocked	The most misunderstood man in the world of Fulbo. He firmly believes in turning misunderstandings into understandings which is why he carries a gun to every game. What’s not to understand about a gun? Guns make life simple!	FOR
