cup	level	tier	Fulbo Win Prize	Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Duels_players	Duels_GK	idle Delay	TOTAL STATS (Cargar Stats Totales Acá)	True Power	GK TOTAL	DEF TOTAL	MID TOTAL	FOR TOTAL	GK%	DEF%	MID%	FOR%	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY
10	10	1	0	5	small	5	Kinder Gangsters	1,2,17,5	19	7	90	7	4	KG	negro	rojo	negro	rojo	0	2	3	3	5	3	2	5	3	2	5	3	5	3	2	5	3	3	5	3	2	3	5	5	-5	-5	25	73	73	18	18	18	18	25%	25%	25%	25%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
10	11	1	0	0	small	5	Stylish Ones	53,43,92,94	1	2	90	1	4	SF	violeta	blanco	blanco	negro	0	3	1	6	4	4	4	4	4	2	3	6	3	6	2	6	3	3	6	3	2	3	6	6	-3	-3	25	83	80	20	21	20	19	40%	20%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
10	12	1	0	2	small	5	Blockchain Earth Team	54,55,56,60	17	1	90	0	4	BET	amarillo	azul	negro	negro	0	1	2	2	5	5	5	5	5	2	6	3	6	3	5	5	5	5	5	5	5	5	5	5	-1	-3	25	97	94	24	21	24	24	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
10	13	1	0	4	small	5	Fulbo Legends	1,5,6,9	12	5	90	4	5	FS	azul	rojo	azul	rojo	0	2	3	8	4	8	4	3	8	2	7	3	7	3	5	5	5	5	5	9	3	9	5	5	-1	-2	25	116	100	25	22	23	30	20%	20%	20%	40%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
10	10	2	0	5	medium	8	Kinder Gangsters	1,2,17,5,4,6,17	19	6	120	7	4	KG	negro	rojo	negro	rojo	0	2	3	3	6	3	2	6	3	2	6	3	6	3	2	6	3	3	6	3	2	3	6	6	0	0	25	195	76	19	19	19	19	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
10	11	2	0	1	medium	8	Stylish Ones	53,43,92,94,109,110,107	1	2	120	1	4	SF	violeta	blanco	blanco	negro	0	3	1	6	5	5	5	5	5	2	3	6	3	6	3	8	4	4	8	3	2	3	6	6	0	0	25	221	90	25	20	25	20	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
10	12	2	0	0	medium	8	Blockchain Earth Team	54,55,56,60,13,20,26	17	7	120	5	4	BET	amarillo	azul	negro	negro	0	1	2	2	5	5	5	5	5	3	8	4	8	4	5	5	5	5	5	4	4	4	4	4	0	0	20	255	95	25	25	25	20	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
10	13	2	0	2	medium	8	Fulbo Legends	1,5,6,9,17,18,21	12	5	120	1	5	FS	azul	rojo	azul	rojo	0	2	3	8	3	6	3	2	6	3	9	5	9	5	6	6	6	6	6	8	3	8	4	4	0	0	20	302	105	20	30	30	25	20%	30%	25%	25%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
10	14	2	0	4	medium	8	Two Tires Squad	115,116,98,99,79,90,96	8	6	120	6	5	TTS	rojo	negro	rojo	rojo	0	3	1	9	5	9	5	3	9	5	5	5	5	5	3	4	8	8	4	9	3	9	5	5	0	0	20	332	110	30	25	25	30	30%	20%	20%	30%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
10	10	3	0	5	large	11	Kinder Gangsters	1,2,17,5,4,6,17,49,93,112	19	6	150	7	4	KG	negro	rojo	negro	rojo	0	2	3	3	6	3	2	6	3	2	6	3	6	3	2	6	3	3	6	3	2	3	6	6	0	0	25	285	84	21	21	21	21	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
