Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Fulbo Win Prize	unlock Condition Text	unlock Condition Code		
-1	small	6	Some Dummies	117,117,117,117	4	6	60	0	1	SD	amarillo	blanco	blanco	violeta	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	Unlocked	Unlocked		
0	small	5	Kinder Gangsters	1,2,17,5	19	6	60	7	10	KG	azul	azul	azul	azul	0	2	3	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	223	Unlocked	Unlocked		
0	small	5	Stylish Five	52,44,92,94	1	4	60	1	13	SF	violeta	blanco	blanco	negro	0	3	1	6	3	3	2	3	5	1	1	1	1	1	3	3	2	3	3	1	1	1	1	1	245	Beat level 1 in this stadium.	win.1		
0	small	5	Leg Breakers	137,79,19,25	5	2	60	4	17	LB	violeta	negro	violeta	negro	0	1	2	2	5	4	3	4	5	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	268	Beat level 2 in this stadium.	win.2		
0	small	5	Fulbo Legends	1,5,6,9	12	1	60	0	15	FS	azul	rojo	azul	rojo	0	2	3	3	6	3	3	7	6	7	3	3	5	7	1	1	1	1	1	1	1	1	1	1	290	Beat level 3 in this stadium.	win.3		
0	small	5	Two Tires Squad	134,116,98,99	8	3	60	6	16	TTS	rojo	negro	rojo	rojo	0	3	1	6	8	8	4	10	10	15	10	5	10	12	4	7	4	6	7	6	8	4	8	8	313	Beat level 4 in this stadium.	win.4		
0	small	5	Freaks Unleashed	123,131,125,124	23	4	90	4	19	FU	naranja	blanco	blanco	naranja	0	3	5	5	12	10	6	13	10	15	9	5	8	10	8	8	5	8	9	5	5	5	5	15	335	Beat level 5 in this stadium.	win.5		
0	small	5	Super Galaxy	52,100,109,110	11	6	60	2	18	SG	negro	verde	verde	negro	0	2	2	5	12	16	6	12	14	12	16	6	14	12	10	11	5	12	16	16	19	7	15	14	358	Beat level 6 in this stadium.	win.6		
0	small	5	Blockchain Earth Team	66,67,56,60	17	2	60	5	14	BET	amarillo	amarillo	amarillo	negro	0	1	2	4	13	19	7	13	13	13	19	7	13	13	13	19	5	16	17	13	19	8	16	13	380	Beat level 7 in this stadium.	win.7		
0	small	5	The Other Guys	133,138,142,132	10	7	90	6	20	TOG	blanco	verde	negro	verde	0	1	4	6	14	20	8	14	14	14	20	8	14	21	14	20	8	14	14	14	20	9	14	19	403	Beat level 8 in this stadium.	win.8		
