Name	Rol	ID	Tags
Punga Punga	CH	1	adiccion
Kim Yin	CH	3	adiccion
Mischa Gurkovsky	CH	6	adiccion
Orfelia	CH	14	adiccion
Angeles Davidson	CH	92	adiccion
Giuseppe Stalini	CH	40	adiccion
Vladimir Putronik	CH	42	adiccion
Chester Guevara	CH	51	adiccion
Cardenal Salchipapa	CH	64	adiccion
Whimply Red	CH	104	adiccion
Painhiding Schmupfth	CH	140	adiccion
Gordo Bazooka	GK	9	adiccion
León Trovich	GK	14	adiccion
Ceresitas	CH	4	amazona
Mischa Gurkovsky	CH	6	amazona
Acid Queen	CH	10	amazona
Mirta Manujín	CH	12	amazona
Orfelia	CH	14	amazona
Turbo Grrrl	CH	18	amazona
Betsy Beige	CH	19	amazona
Cobra	CH	21	amazona
Kristina Firtzner	CH	27	amazona
Oriana Yuyos	CH	32	amazona
La Chambona	CH	34	amazona
K Zoo	CH	44	amazona
Lissa Simmons	CH	48	amazona
Leevon Hemingway	CH	50	amazona
Smiley Saurus	CH	54	amazona
Cameela Camil	CH	58	amazona
Koko Momo	CH	62	amazona
Perita Verón	CH	81	amazona
Patra	CH	84	amazona
Toxic Kate	CH	87	amazona
Katsumi Takako	CH	89	amazona
Maribot	CH	90	amazona
Angeles Davidson	CH	92	amazona
Anónima	CH	76	amazona
Mickey Naj	CH	95	amazona
Mamma Donna	CH	102	amazona
Marilyn Mostra	CH	107	amazona
María Gonzalez	CH	112	amazona
Bombelle	CH	126	amazona
Mrs. Monster Bride	CH	127	amazona
Rota Rodríguez	CH	137	amazona
Marielle	CH	150	amazona
Xannah	GK	5	amazona
Plasmatika	GK	8	amazona
Charlote Verdoux	CH	63	antiguo
Mr Salchipapa	CH	64	antiguo
Transparento	CH	82	antiguo
Feratvs	CH	83	antiguo
Patra	CH	84	antiguo
Maribot	CH	90	antiguo
Mrs. Monster Bride	CH	127	antiguo
Jon Fisherman Kenneth	CH	144	antiguo
Giuseppe Stalini	CH	40	antiguo
Perita Verón	CH	81	antiguo
 Bat Brat	CH	93	antiguo
Black Hole Sam	CH	143	antiguo
Rongo Sunn	CH	139	antiguo
Franky	GK	19	antiguo
Groso de Central	GK	11	arte
El Fulbonauta	CH	165	arte
Leevon Hemingway	CH	50	arte
El Ñubi	CH	39	arte
Fiscal Nissmar	CH	7	arte
Pato	CH	164	arte
El Javo	CH	158	arte
Kristina Firtzner	CH	27	arte
Fabricio Fabri	CH	26	arte
Punga Punga	CH	1	arte
Mirta Manujín	CH	12	arte
Tincho M. Diocre	CH	13	arte
Orfelia	CH	14	arte
El Pesto	CH	20	arte
Caniggia Ice	CH	22	arte
El  Carlo	CH	163	arte
El Copito	CH	166	arte
Alfredo 'Tota' Messina	CH	23	arte
Kremme	CH	24	arte
Bobby Etchegoyen	CH	28	arte
Jimena Susanez	CH	31	arte
Oriana Yuyos	CH	32	arte
Sri Zen Ohm	CH	33	arte
La Chambona	CH	34	arte
El Más Guillermo	CH	37	arte
El Drupi	CH	38	arte
K Zoo	CH	44	arte
L-Gangster	CH	46	arte
Angel Robledo	CH	49	arte
Chester Guevara	CH	51	arte
Pati Caro	CH	52	arte
Cardenal Salchipapa	CH	64	arte
Perita Verón	CH	81	arte
Exotique Glitterson	CH	108	arte
Diskoteko	CH	130	arte
Fuco	CH	156	arte
Cadorni	CH	157	arte
Comandante Feltford	GK	1	arte
Richard Orion	GK	2	arte
Mergod	GK	24	asesino
Gloo Gloo	CH	154	asesino
Miss California	CH	146	asesino
Marielle	CH	150	asesino
Babe Watcher	CH	147	asesino
Mr. Deep	CH	148	asesino
Gloo Gloo	CH	154	asesino
Mr. Lost & Fulvencito	CH	149	asesino
Gloo Gloo	CH	154	asesino
Bay Warrior	CH	145	asesino
José Cadaver	CH	132	asesino
Pedro Power	CH	116	asesino
Cadorni	CH	157	asesino
K Zoo	CH	44	asesino
El Pinche Guevara	CH	77	cheff
Batato Bergoglio	CH	78	cheff
Xalapeño	CH	79	cheff
Humita	CH	169	cheff
Ronda Peperoni	CH	138	cheff
Pati Caro	CH	52	cheff
Carne Picante	CH	168	cheff
El Jefe	CH	159	cheff
El Copito	CH	166	cheff
Poonga Loompa	CH	5	cheff
Commander Feltford	GK	1	cheff
Ronald W Thrumb	CH	16	estrella
Bankboy Sam	CH	53	estrella
Eloy Mars	CH	55	estrella
Butalik Viterin	CH	56	estrella
Bitoshi  Coinamoto	CH	60	estrella
Nadie	CH	61	estrella
Coin Guru Guy	CH	66	estrella
Z Sea	CH	67	estrella
Somebody	CH	74	estrella
Alguien	CH	75	estrella
Anónima	CH	76	estrella
Sorry	CH	100	estrella
Carlos  Danger	CH	101	estrella
Husam Sandstorm	CH	119	estrella
Ahmed y la pequeña Fatima	CH	120	estrella
Primate Aburrido	CH	121	estrella
Frank Wolfstreet	CH	142	estrella
El Javo	CH	158	estrella
KryptoKid	GK	16	estrella
Power Pup	GK	17	estrella
Slasher Master	CH	15	gore
Machote	CH	65	gore
Chunky Doll	CH	2	gore
Slash	CH	128	gore
The Undead	CH	85	gore
Feratvs	CH	83	gore
The Dead	CH	86	gore
Bat Brat	CH	93	gore
7th Son	CH	125	gore
Kurtz Kritz	CH	36	gore
Flamas	CH	133	gore
Tu Pesadilla	CH	134	gore
Denim Face	GK	10	gore
Harold Payne	CH	11	meme
La Chambona	CH	34	meme
Quanus, The Brute	CH	35	meme
Fuco	CH	156	meme
Secret Frog	CH	171	meme
El Drupi	CH	38	meme
El  Ñubi	CH	39	meme
Pati Caro	CH	52	meme
Unprofessional Santa	CH	152	meme
Oliver Plant	CH	59	meme
Alguien	CH	75	meme
Bat Brat	CH	93	meme
Slappy Oscar	CH	141	meme
Painhiding Schmupfth	CH	140	meme
Sri Zen Ohm	CH	33	meme
Power Doge	GK	17	meme
Mischa Gurkovsky	CH	6	ninio
Ceresitas	CH	4	ninio
Orfelia	CH	14	ninio
Spud Boy	CH	9	ninio
Gorggy	CH	17	ninio
Burt Simmons	CH	47	ninio
Lissa Simmons	CH	48	ninio
Shrek	GK	13	ninio
Gloo Gloo	CH	154	nohumano
Golden Maribot	CH	91	nohumano
Golden Dummy	CH	117	nohumano
Silver Dummy	CH	118	nohumano
Gurghle, the Zhnorx	CH	123	nohumano
Xardra, the Warrrwan	CH	124	nohumano
Diskoteko	CH	130	nohumano
XD-Vision	CH	131	nohumano
Jennsen, the Witch Elf	CH	153	nohumano
Potato Head	CH	9	nohumano
Oliver Plant	CH	59	nohumano
Nadie	CH	61	nohumano
Mr. Nice Guy	CH	97	nohumano
Carlos Danger	CH	101	nohumano
Green Gladys	CH	103	nohumano
Seed Visual	CH	106	nohumano
Tom of Iceland	CH	113	nohumano
Séptimo Hijo	CH	125	nohumano
XD-Vision	CH	131	nohumano
José Cadaver	CH	132	nohumano
Flamas	CH	133	nohumano
Parolio, el Payaso	CH	135	nohumano
Samuel LaMerde	CH	136	nohumano
Rota Rodríguez	CH	137	nohumano
Ronda Peperoni	CH	138	nohumano
Black Hole Sam	CH	143	nohumano
Unprofessional Santa	CH	152	nohumano
Motorhome	GK	6	nohumano
Kim Yin	CH	3	presidente
Lizzie Queen	CH	8	presidente
Ronald W. Thrumb	CH	16	presidente
Fabricio Fabri	CH	26	presidente
Kristina Firtzner	CH	27	presidente
Bolsonero	CH	29	presidente
Giuseppe Stalini	CH	40	presidente
Vladimir Putronik	CH	42	presidente
El Carlo	CH	163	presidente
Perita Verón	CH	81	presidente
El Javo	CH	158	presidente
Marielle	CH	150	presidente
León Trovich	GK	14	presidente
Peron	GK	15	presidente
