Equipo	team_tag	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	state
Internacional Roja	adiccion	IRO	rojo	amarillo	rojo	rojo	0	1	1	5	on
All Memes	meme	MEM	amarillo	rojo	verde	blanco	0	3	2	7	on
Liga Espacial Internacional	space	ESP	celeste	celeste	blanco	blanco	0	3	3	19	on
Federación Matriarcal	amazona	FEM	verde	verde	negro	negro	0	2	4	21	on
Atlético Presidencial	presidente	PRE	azul	rojo	blanco	negro	0	1	5	6	on
Gore Gore Club	gore	GOR	negro	amarillo	blanco	negro	0	2	6	10	on
Sportivo Inmortales	antiguo	SIN	blanco	gris	blanco	gris	0	3	3	4	on
Rainbow F.C.	rupaul	YAS	rosa	celeste	amarillo	blanco	0	1	1	29	on
Nueva Atlantis	asesino	NAT	negro	blanco	rojo	blanco	0	2	2	4	on
Peronia United	tercermundo	PER	azul	azul	blanco	celeste	0	3	3	14	on
Unione Macirulla	violento	UMA	negro	rojo	rojo	negro	0	2	4	22	on
Crypto Brotherhood	estrella	BRO	amarillo	amarillo	blanco	amarillo	0	2	5	11	on
Fulboneta 26	arte	FUL	celeste	blanco	negro	azul	0	3	6	5	on
Gastronomía y Deporte	cheff	GAS	blanco	blanco	blanco	blanco	0	1	1	18	on
Freaky Team	nohumano	FKT	amarillo	negro	blanco	negro	0	1	4	3	on
Maga Lago WC 26	sinicos	M26	rojo	blanco	Azul	Amarillo	0	1	5	13	on
Sportivo Liberto	lla	LIB	violeta	violeta	blanco	blanco	0	1	6	2	on
Fulbo Riders MC	riders	RID	rojo	blanco	negro	negro	0	1	1	17	on
Team Of The Dead	zombies	ZOM	negro	celeste	blanco	negro	0	3	2	9	on
Libertarios	libertarios	DER	violeta	violeta	blanco	blanco	0	1	6	2	torneo
Zurdos	zurdos	IZQ	rojo	amarillo	rojo	rojo	0	1	1	5	torneo
