Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Fulbo Win Prize	unlock Condition Text	unlock Condition Code
0	small	6	Qatar	148,119,82,120	21	6	90	0	1	QAT	blanco	bordo	bordo	bordo	0	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	Unlocked	Unlocked
0	small	5	Ecuador	5,39,49,109	19	6	90	0	10	ECU	amarillo	rojo	rojo	amarillo	0	3	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	223	Unlocked	Unlocked
0	small	5	France	140,136,134,125	22	4	90	1	13	FRA	azul	azul	blanco	rojo	0	3	5	0	3	3	2	3	5	3	3	2	3	3	3	3	2	3	3	3	5	2	3	3	245	Beat level 1 in this stadium.	win.1
0	small	5	Australia	54,55,56,60	17	7	90	5	14	AUS	azul	blanco	azul	rojo	0	1	3	0	5	4	3	4	5	7	8	3	8	8	3	4	3	4	2	2	2	3	2	3	268	Beat level 2 in this stadium.	win.2
0	small	5	Germany	1,5,6,9	12	5	90	1	15	DEU	negro	amarillo	negro	negro	0	1	1	11	6	3	3	7	6	7	3	3	5	7	5	4	3	7	6	9	7	3	10	9	290	Beat level 3 in this stadium.	win.3
0	small	5	Spain	115,116,98,99	8	4	90	6	16	ESP	rojo	amarillo	rojo	rojo	0	1	2	0	8	8	4	10	10	15	10	5	10	12	4	7	4	6	7	6	8	4	8	8	313	Beat level 4 in this stadium.	win.4
0	small	5	Uruguay 	137,79,19,25	5	2	90	4	17	URY	azul	blanco	azul	azul	0	3	3	0	12	10	6	13	10	10	15	5	20	20	12	8	5	8	20	5	5	5	5	15	335	Beat level 5 in this stadium.	win.5
0	small	5	Korea	52,100,109,110	11	6	90	2	18	KOR	blanco	negro	rojo	azul	0	2	4	0	12	16	6	12	14	12	16	6	14	12	14	12	6	12	16	16	19	10	15	14	358	Beat level 6 in this stadium.	win.6
0	small	5	England	123,131,125,124	23	4	90	4	19	ENG	rojo	blanco	negro	negro	0	1	5	0	13	19	10	13	13	13	19	7	13	13	13	19	10	16	17	13	19	10	16	13	380	Beat level 7 in this stadium.	win.7
0	small	5	United States	133,138,142,132	10	7	90	6	20	USA	blanco	rojo	azul	blanco	0	3	3	0	14	20	15	14	14	14	20	10	14	21	14	20	8	14	14	14	20	10	14	19	403	Beat level 8 in this stadium.	win.8
0	medium	8	Argentina	138,135,119,120,89,84,35	17	6	90	2	22	ARG	celeste	blanco	negro	celeste	0	3	5	21	15	10	10	25	27	18	12	12	15	21	15	21	15	22	23	12	10	9	15	15	455	Beat level 9 in this stadium	win.9
0	medium	8	Mexico	128,98,65,51,58,29,129	12	5	90	1	24	MEX	verde	blanco	rojo	verde	0	3	1	0	15	20	10	15	20	10	21	8	15	21	15	20	13	17	25	13	18	10	16	20	478	Beat level 10 in this stadium.	win.10
0	medium	8	Croatia	50,44,18,21,19,8,12	5	2	90	2	25	HRV	rojo	blanco	azul	rojo	0	1	2	0	18	20	15	19	18	10	15	13	18	18	18	16	12	20	21	20	17	12	20	20	500	Beat level 11 in this stadium.	win.11
1	medium	8	Iran	134,135,132,128,129,130,127	10	6	90	40	30	IRN	verde	rojo	rojo	rojo	0	1	2	0	15	28	28	26	28	26	28	19	28	35	28	28	18	26	30	30	28	20	32	39	595	Beat level 2 in this stadium.	win.2
0	large	11	Brazil	138,79,78,52,37,5,59,132,130,137	9	6	90	3	29	BRA	verde	amarillo	verde	verde	0	1	4	0	13	15	18	19	12	14	20	20	20	21	20	15	12	21	24	25	20	15	15	16	575	Beat level 13 in this stadium.	win.13
0	large	11	Switzerland	10,49,50,59,75,116,127,126,92,95	7	5	90	2	30	CHE	rojo	rojo	rojo	blanco	0	1	5	0	20	15	20	20	20	20	12	20	24	24	20	10	15	30	15	25	20	18	25	18	598	Beat level 14 in this stadium.	win.14
