cup	level	tier	Fulbo Win Prize	Cancha ID  0= Fulbo Stadium.  1= Cementerio.  2= Playa.	Size	My Team Qty	Equipo	ID Players	ID GK	referi_id	Tiempo de juego	Positions	coin price	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY	Duels_players	Duels_GK	idle Delay	TOTAL STATS (NO TOCAR)	True Power	GK TOTAL	DEF TOTAL	MID TOTAL	FOR TOTAL	GK%	DEF%	MID%	FOR%	GK - ACCURACY	GK - STAMINA	GK - SPEED	GK - DEXTERITY	GK - TRICKERY	DEF - ACCURACY	DEF - STAMINA	DEF - SPEED	DEF - DEXTERITY	DEF - TRICKERY	MID - ACCURACY	MID - STAMINA	MID - SPEED	MID - DEXTERITY	MID - TRICKERY	FOR - ACCURACY	FOR - STAMINA	FOR - SPEED	FOR - DEXTERITY	FOR - TRICKERY
10	10	2	0	5	medium	8	Kinder Gangsters	1,2,17,5,4,6,17	19	6	120	7	4	KG	negro	rojo	negro	rojo	0	2	3	3	6	3	2	6	3	2	6	3	6	3	2	6	3	3	6	3	2	3	6	6	0	0	25	195	76	19	19	19	19	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
10	11	2	0	1	medium	8	Stylish Ones	53,43,92,94,109,110,107	1	2	120	1	4	SF	violeta	blanco	blanco	negro	0	3	1	6	5	5	5	5	5	2	3	6	3	6	3	8	4	4	8	3	2	3	6	6	0	0	25	221	90	25	20	25	20	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
10	13	2	0	2	medium	8	Fulbo Legends	1,5,6,9,17,18,21	12	5	120	1	5	FS	azul	rojo	azul	rojo	0	2	3	8	3	6	3	2	6	3	9	5	9	5	6	6	6	6	6	8	3	8	4	4	0	0	20	302	105	20	30	30	25	20%	30%	25%	25%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
10	14	2	0	4	medium	8	Two Tires Squad	115,116,98,99,79,90,96	8	6	120	6	5	TTS	rojo	negro	rojo	rojo	0	3	1	9	5	9	5	3	9	5	5	5	5	5	3	4	8	8	4	9	3	9	5	5	0	0	20	332	110	30	25	25	30	30%	20%	20%	30%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
20	20	2	0	0	medium	8	Super Galaxy	52,100,109,110,123,124,126	11	6	120	2	6	SG	negro	verde	verde	negro	0	2	2	12	8	4	3	8	4	3	9	5	9	5	3	9	5	5	9	4	3	4	8	8	0	0	25	209	110	25	30	30	25	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	21	2	0	0	medium	8	Freaks Unleashed	123,131,125,124,117,118,100	23	5	120	4	6	FU	naranja	blanco	blanco	naranja	0	3	5	5	7	7	7	7	7	3	5	9	5	9	4	11	5	5	11	6	4	6	11	11	0	0	25	237	138	35	30	35	38	20%	40%	20%	20%	20%	20%	20%	20%	20%	10%	15%	30%	15%	30%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
20	22	2	0	0	medium	8	The Other Guys	133,138,125,132,140,142,143	10	7	120	6	6	TOG	blanco	verde	negro	verde	0	1	4	6	8	8	8	8	8	4	11	6	11	6	8	8	8	8	8	8	8	8	8	8	0	0	20	274	155	39	38	39	39	25%	25%	25%	25%	20%	20%	20%	20%	20%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	20%	20%	20%	20%	20%
20	23	2	0	0	medium	8	Dog Run	140,135,119,120,89,84,35	17	6	120	3	7	DG	verde	violeta	verde	violeta	0	2	3	1	6	13	6	4	13	4	12	6	12	6	8	8	8	8	8	12	4	12	6	6	0	0	20	324	161	42	40	38	41	40%	20%	20%	20%	15%	30%	15%	10%	30%	10%	30%	15%	30%	15%	20%	20%	20%	20%	20%	30%	10%	30%	15%	15%
20	24	2	0	0	medium	8	Anti-Nerds	128,98,65,51,58,29,129	12	5	120	1	8	AN	blanco	blanco	blanco	negro	0	3	1	16	7	14	7	5	14	8	8	8	8	8	5	7	14	14	7	14	5	14	7	7	0	0	20	356	173	45	38	45	45	20%	20%	20%	40%	15%	30%	15%	10%	30%	20%	20%	20%	20%	20%	10%	15%	30%	30%	15%	30%	10%	30%	15%	15%
30	30	2	0	1	medium	8	Toxic Vomit FC	85,86,87,88,100,82,61	18	5	120	1	12	TV	negro	verde	verde	negro	0	2	2	15	9	5	3	9	5	4	13	7	13	7	6	18	9	9	18	5	3	5	9	9	0	0	35	224	165	30	45	60	30	20%	20%	40%	20%	30%	15%	10%	30%	15%	10%	30%	15%	30%	15%	10%	30%	15%	15%	30%	15%	10%	15%	30%	30%
