 	tier	Name	Chest_tier1	Lifes
10	1	Little Baby Cup	1	7
20	1	Rookie Cup	2	5
30	1	Spooky Scary Cup	3	4
40	1	Coarse & Rough Cup	4	4
50	1	Yellowstripe Cup	5	3
60	1	Nyan Cup	6	3
70	1	You Shall Not Cup	7	3
80	1	Doot With The Cup	7	3
90	1	Crab Cup Crab Cup	7	3
100	1	Redstripe Cup	7	2
10	2	Little Baby Cup 2	2	4
20	2	Rookie Cup 2	2	3
30	2	Spooky Scary Cup 2	3	3
40	2	Coarse & Rough Cup 2	4	3
50	2	Yellowstripe Cup 2	5	3
60	2	Nyan Cup 2	6	3
70	2	You Shall Not Cup 2	7	3
80	2	Doot With The Cup 2	7	3
90	2	Crab Cup Crab Cup 2	7	2
100	2	Redstripe Cup 2	7	2
10	3	Little Baby Cup 3	2	3
20	3	Rookie Cup 3	2	3
30	3	Spooky Scary Cup 3	3	3
40	3	Coarse & Rough Cup 3	4	3
50	3	Yellowstripe Cup 3	5	2
60	3	Nyan Cup 3	6	2
70	3	You Shall Not Cup 3	7	2
80	3	Doot With The Cup 3	7	2
90	3	Crab Cup Crab Cup 3	7	2
100	3	Redstripe Cup 3	7	2
