tipo	color	Titulo grande	copete	texto	variables	diccionario
header	azul	¡HOY EN LA FUTCON! [fecha]	¡FULBO SUPERESTRELLA!	Jugador del día	[random]	[random] jugador random de ambos equipos
hero	rojo	CORBATA GRANDE	NO HUBO DIFERENCIA EN LOS GOLES	Encuentro incómodo: "Fue aburrido", declaró [randomly] después de quedarse dormido y babear frente a la cámara.	played_difGoles=0	[equipo] tu equipo
hero	rojo	ATAR 	NADIE GANA; NADIE PIERDE	¿Sabías que este partido entró en la clasificación de los partidos más aburridos jamás retransmitidos?	played_difGoles=0	[equipo] tu equipo
hero	rojo	¡TODOS ESTÁN DESPEDIDOS!	CORBATA DEL AÑO	Los hinchas destrozaron el campo. La policía tuvo que dispersarlos, pero acabó sumándose a la protesta. No se registraron incidentes.	played_difGoles=0	[equipo] tu equipo
hero	rojo	¡GANÁ, POR FAVOR!	NECESITAMOS UNA VICTORIA	Según fuentes confiables, la victoria sería mucho más importante que la dignidad.	played_difGoles=0	[equipo] tu equipo
hero	rojo	DIOS MÍO	EMPATE Y FINAL	Los jugadores escaparon al autobús del equipo. Les tiraron mandarinas y monedas de 500 australes.	played_difGoles=0	[equipo] tu equipo
hero	rojo	ATAR...	LOS JUGADORES QUIEREN ABANDONAR EL EQUIPO	Circulan rumores de que algunos jugadores del equipo quieren ser personajes de otro videojuego. Preferirían formar parte de un juego de acción y disparos o de un juego de cocina.	played_difGoles=0	[equipo] tu equipo
hero	rojo	QUEREMOS GANAR	POR FAVOR...	El capitán del equipo balbuceó unas excusas algo desprovistas de eses.	played_difGoles=0	[equipo] tu equipo
hero	verde	[result]. UNA VICTORIA...	LUJO	"Gracias a Dios pude hacer un golazo", declaró [goleador_team1].	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. EL EQUIPO PODRÍA HABER HECHO MÁS.	LENTO	Los jugadores fingieron demencia y se pusieron a dormir en la cancha.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. ¡VALIÓ LA PENA!	UNA VICTORIA ES UNA VICTORIA	"Si mis estadísticas mejoraran, podría jugar aún mejor", declaró [goleador_team1], goleador.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. UN GOL Y UNA VICTORIA	ÉXITO	El director técnico aseguró que van por el buen camino.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. UN PARTIDO PARA OLVIDAR PERO EFECTIVO	TENEMOS QUE GANAR	El equipo perdedor afirmó que a su arquero le hicieron el mal de ojo.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. LIGERAMENTE MEJOR	¡TOMA ESO!	Los mapas de calor de los jugadores indican que el equipo se movió menos que un grupo monjes meditando.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. BUEN PARTIDO	AFORTUNADO	Según la mamá del técnico "1 gol de diferencia es igual a 10 goles de diferencia".	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. HICISTE LO QUE TENÍAS QUE HACER.	EXCELENCIA	"¡Esto es fulbo!", gritó el entrenador del equipo desde el vestuario mientras sus jugadores esperaban a que se calentara el agua de las duchas.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. ¡GANAMOS POR 2 GOLES!	CELEBREMOS	"Fue como un vals", declaró [goleador_team1], quien marcó un gran gol.	played_difGoles=2	[team1] y [team2]
hero	verde	[result]. VICTORIA.	FIESTA	Los futbolistas rvolvieron al clú en autobús, celebrando. Los coches de los hinchas los seguían, tocando la bocina y gritando de alegría.	played_difGoles=2	[team1] y [team2]
hero	verde	[result].VICTORIA FÁCIL	CALIDAD SUPERIOR	[goleador_team1], autor de un golazo, lloró ante las cámaras y dedicó el partido a su madre, que lo esperaba cada tarde con vainillas y vascolé.	played_difGoles=2	[team1] y [team2]
hero	verde	[result]. EL PARTIDO FUE MUY CÓMODO	¡VIVA EL FULBO!	Una leve superioridad hace una gran diferencia.	played_difGoles=2	[team1] y [team2]
hero	verde	[result]. ¡EL EQUIPO MARCÓ DOS GOLES ESPECTACULARES!	GRAN ALEGRÍA	Los hinchas acabaron rompiendo una de las gradas durante la celebración. Hubo heridos leves y un hombre perdió su dentadura postiza, aunque también afirmó que posiblemente se la había tragado.	played_difGoles=2	[team1] y [team2]
hero	verde	[result]. ¡UN RESULTADO INCREÍBLE!	JUEGO TERMINADO	[goleador_team1], quien marcó un gran gol, corrió hacia la cámara y gritó "¡Esto es para vos, vieja!" con gran emoción.	played_difGoles=3	[team1] y [team2]
