  	value / 10	DEFENSOR	CENTRAL	DELANTERO	GOALKEEPER		comments
speed	35	5	0	0	0	speed/60	Velocidad normal del jugador sin la pelota (Jog)
speedRun	48	5	0	0	0		Velocidad máxima de Sprint sin la pelota
speedRunFade	43	0	0	0	0		Tiempo que toma en bajar desde la velocidad máxima de Sprint a la velocidad de Jog
speedWithBall	21	-5	2	0	0		Velocidad normal del jugador con la pelota (Jog)
speedRunWithBall	38	-5	5	0	0		Velocidad máxima de Sprint con la pelota
speedDash	35	10	0	-10	0		Velocidad de traslado durante el Tackle
random_jump_a_dash	40	0	25	15	0		Probabilidad entre 0 y 1000  de que la IA te salte un Tackle
distance_to_dash_ai	25	5	0	-3	0		Distancia en la que la IA considera hacer un Tackle
dash_percent	100	100	0	0	0		Probabilidad entre 0 y 1000 que la IA haga un Tackle
duration_dash	4	4	0	-2	0		3 = 0.3 segundos de dash. Duración del Tackle
collider_radius_dash_multiplier	27	5	3	0	0		Aumento del radio de colisión al hacer Tackle
defenseDelay	17	0	0	0	5		Cuanto tiempo tarda la IA en pasar a Defensa
attackDelay	25	0	0	0	5		Cuanto tiempo tarda la IA en pasar a Ataque
idleDelay	5	0	0	0	-4		Tiempo en que el jugador de IA se queda pensando nueva acción idle /100. 
freeze_by_hit	5	0	0	0	0		Tiempo en que el jugador se queda freeze por un golpe
freeze_by_kick	5	0	0	0	0		Tiempo en que el jugador se queda freeze luego de patear la pelota
freeze_dash	7	0	-1	1	0		Tiempo en que el jugador se queda freeze luego de fallar un dash
freeze_by_loseBall	25	0	0	0	0		Tiempo en que el jugador se queda freeze luego de perder la pelota por contacto
freeze_by_dashBall	30	0	5	15	0		Tiempo en que el jugador se queda freeze luego de perder la pelota por un Tackle
height_to_dominate_ball	25	10	-15	10	0		Altura (impacto de pelota en jugador) necesaria para dominar la pelota en vez de cabecearla
timeToSwapCharactersAutomatically	7	0	0	0	0		Tiempo que espera la PC para cambiarle de jugador automaticamente al Usuario
collider_radius	25	0	-10	0	40		Radio de colisión del jugador con la pelota
collider_height	180	0	0	0	0		Altura de colisión del jugador con la pelota
collider_radius_air	100	100	0	50	20		Radio de colisión para el jugador cuando esta en el aire (chilena, cabezaso.. etc)
lujito_multiplier	10	0	0	0	0		Velocidad que multiplica. ej:  15 = speed * 1.5 mientras hace jueguito. (esta se suma a la de Sprint)
kickHard	5500	0	-20	20	0		Fuerza con la que patea la pelota al arco
kickHardAngle	4500	100	200	300	0		Globito con el que se patea al arco
kickSoft	4500	500	250	0	500		Fuerza con la que se hace un pase
kickSoftAngle	1200	0	0	0	0		Altura en la que se hace un pase
kickBaloon	2600	250	500	0	500		Fuerza con la que se hace un pase por arriba
kickBaloonAngle	3200	0	0	-250	0		Altura en la que se hace un pase por arriba
kickHead	3500	2500	0	1000	0		Fuerza con la que se cabecea al arco
kickHeadAngle	1800	500	-800	0	0		Altura en la que se cabecea al arco
kickChilena	5800	-1000	0	1500	0		Fuerza con la que se hace chilena al arco
kickChilenaAngle	1000	1000	500	0	0		Altura en la que se hace chilena al arco
kickCentro	220	50	-50	0	0		Fuerza con la que patea el centro
kickCentroAngle	4500	50	-20	0	0		Altura en la que patea el centro
cooldown_lujito	40	0	0	0	0		Tiempo entre hacer un lujito (esquivar con salto con pelota) y poder repetirlo. 20 = 2seg
cooldown_dash	20	0	0	0	0		Tiempo entre hacer un tackle, errarlo y poder repetirlo. 20 = 2seg
