Name	Rol	ID	Tags
Redneck	CH	25	adiccion
Uncle Teddy	CH	30	adiccion
George W. Ramone	CH	41	adiccion
Elion Mars	CH	55	adiccion
Machote	CH	65	adiccion
Angeles Davidson	CH	92	adiccion
Michael Five	CH	94	adiccion
Mr. Nice Guy	CH	97	adiccion
Plasmatika	GK	8	adiccion
Orfelia	CH	14	amazona
Turbo Grrrl	CH	18	amazona
Betsy Beige	CH	19	amazona
Oriana Yuyo	CH	32	amazona
Mamma Donna	CH	102	amazona
Bombelle	CH	126	amazona
Marielle	CH	150	amazona
Xannah	GK	5	amazona
Charlote Verdoux	CH	63	antiguo
Mr Salchipapa	CH	64	antiguo
Transparento	CH	82	antiguo
Feratvs	CH	83	antiguo
Patra	CH	84	antiguo
Maribot	CH	90	antiguo
Mrs. Monster Bride	CH	127	antiguo
Jon Fisherman Kenneth	CH	144	antiguo
Franky	GK	19	antiguo
Acid Queen	CH	10	arte
Mirta Manujín	CH	12	arte
Kremme	CH	24	arte
Gimena Susanez	CH	31	arte
K-Zu	CH	44	arte
Leevon Hemingway	CH	50	arte
Cameela Camil	CH	59	arte
Koko Momo	CH	62	arte
Denimface	GK	10	arte
Boris Jameson	CH	15	asesino
Quanus, The Brute	CH	35	asesino
KKK	CH	36	asesino
L-Gangster	CH	46	asesino
Angel Robledo	CH	49	asesino
Sorry	CH	100	asesino
Bruce Ashman	CH	128	asesino
Agent Kill	CH	129	asesino
Copbot	GK	4	asesino
Fengxian	GK	23	asesino
El Pinche Guevara	CH	77	cheff
Potato Cheff	CH	78	cheff
Xalapeño	CH	79	cheff
El Trompo	CH	80	cheff
Katsumi Takako	CH	89	cheff
Husam Sandstorm	CH	119	cheff
Ahmed and little Fatima	CH	120	cheff
Ronda Peperoni	CH	138	cheff
Commander Feltford	GK	1	cheff
Cobra	CH	21	estrella
Max Star	CH	54	estrella
Bay Warrior	CH	145	estrella
Miss California	CH	146	estrella
Babe Watcher	CH	147	estrella
Mr. Deep	CH	148	estrella
Mr. Lost & Wilfred	CH	149	estrella
Max Rainbow	GK	21	estrella
The Undead	CH	85	gore
The Dead	CH	86	gore
Toxic Kate	CH	87	gore
Mortadella	CH	88	gore
Bat Brat	CH	93	gore
7th Son	CH	125	gore
duende navideño	CH	151	gore
Rick Deadboy	GK	18	gore
Bankboy Sam	CH	53	internet
Butalik Viterin	CH	56	internet
Tom Paris	CH	57	internet
