Equipo	team_tag	abreviacion (name)	color remera 1	color remera 2	color shorts	color shoes	pinball	designID (pattern)	diseño escudo (shape)	logo (icon)
Club Adicción	adiccion	ADC	violeta	blanco	blanco	violeta	0	3	1	15
All Memes	meme	MME	verde	rojo	verde	verde	0	2	3	10
Pibitos All Boys	ninio	KID	amarillo	negro	rojo	amarillo	0	3	1	27
Amazonas	amazona	AMA	mandarina	verde	verde	mandarina	0	2	2	28
Presidentes	presidente	PRE	naranja	blanco	blanco	naranja	0	3	5	6
Gore Club Social	gore	GOR	verde	amarillo	verde	amarillo	0	1	4	9
Los Antiguos	antiguo	OLD	blanco	gris	blanco	gris	0	2	3	26
RuPaul Fans Club	rupaul	RUP	rosa	celeste	rosa	rosa	0	3	1	24
Asesinos Juniors	asesino	ASJ	rojo	verde	verde	rojo	0	2	2	22
Tercer Mundo	tercermundo	TER	naranja	amarillo	blanco	naranja	0	3	1	23
Los Violentos	violento	LVS	negro	rojo	rojo	negro	0	3	1	16
Estrellas	estrella	EST	mandarina	blanco	celeste	blanco	0	2	1	5
Artistas	arte	ART	rosa	rojo	blanco	rosa	0	3	1	29
Cocina del Mundo	cheff	CDM	rosa	azul	negro	rosa	0	1	4	12
Club No-Humanos	nohumano	CNH	azul	verde	azul	azul	0	3	3	3
C.A.Sinicos	sinicos	SIN	celeste	verde	amarillo	celeste	0	1	1	21
